station,valid,speed
FYV,1/1/2016 12:53:00 AM,9.2
FYV,1/1/2016 1:53:00 AM,3.45
FYV,1/1/2016 2:53:00 AM,6.9
FYV,1/1/2016 3:53:00 AM,3.45
FYV,1/1/2016 4:53:00 AM,3.45
FYV,1/1/2016 5:53:00 AM,0
FYV,1/1/2016 6:53:00 AM,0
FYV,1/1/2016 7:53:00 AM,0
FYV,1/1/2016 8:53:00 AM,0
FYV,1/1/2016 9:53:00 AM,0
FYV,1/1/2016 10:53:00 AM,0
FYV,1/1/2016 11:53:00 AM,0
FYV,1/1/2016 12:53:00 PM,M
FYV,1/1/2016 1:53:00 PM,0
FYV,1/1/2016 2:53:00 PM,0
FYV,1/1/2016 3:53:00 PM,0
FYV,1/1/2016 4:53:00 PM,6.9
FYV,1/1/2016 5:53:00 PM,8.05
FYV,1/1/2016 6:53:00 PM,11.5
FYV,1/1/2016 7:53:00 PM,4.6
FYV,1/1/2016 8:53:00 PM,8.05
FYV,1/1/2016 9:53:00 PM,6.9
FYV,1/1/2016 10:53:00 PM,6.9
FYV,1/1/2016 11:53:00 PM,3.45
FYV,1/2/2016 12:53:00 AM,4.6
FYV,1/2/2016 1:53:00 AM,3.45
FYV,1/2/2016 2:53:00 AM,5.75
FYV,1/2/2016 3:53:00 AM,3.45
FYV,1/2/2016 4:53:00 AM,0
FYV,1/2/2016 5:53:00 AM,0
FYV,1/2/2016 6:53:00 AM,0
FYV,1/2/2016 7:53:00 AM,0
FYV,1/2/2016 8:53:00 AM,4.6
FYV,1/2/2016 9:53:00 AM,0
FYV,1/2/2016 10:53:00 AM,0
FYV,1/2/2016 11:53:00 AM,4.6
FYV,1/2/2016 12:53:00 PM,0
FYV,1/2/2016 1:53:00 PM,0
FYV,1/2/2016 2:53:00 PM,4.6
FYV,1/2/2016 3:53:00 PM,5.75
FYV,1/2/2016 4:53:00 PM,5.75
FYV,1/2/2016 5:53:00 PM,8.05
FYV,1/2/2016 6:53:00 PM,11.5
FYV,1/2/2016 7:53:00 PM,9.2
FYV,1/2/2016 8:53:00 PM,8.05
FYV,1/2/2016 9:53:00 PM,5.75
FYV,1/2/2016 10:53:00 PM,5.75
FYV,1/2/2016 11:53:00 PM,4.6
FYV,1/3/2016 12:53:00 AM,0
FYV,1/3/2016 1:53:00 AM,0
FYV,1/3/2016 2:53:00 AM,0
FYV,1/3/2016 3:53:00 AM,0
FYV,1/3/2016 4:53:00 AM,0
FYV,1/3/2016 5:53:00 AM,5.75
FYV,1/3/2016 6:53:00 AM,0
FYV,1/3/2016 7:53:00 AM,4.6
FYV,1/3/2016 8:53:00 AM,0
FYV,1/3/2016 9:53:00 AM,3.45
FYV,1/3/2016 10:53:00 AM,0
FYV,1/3/2016 11:53:00 AM,0
FYV,1/3/2016 12:53:00 PM,0
FYV,1/3/2016 1:53:00 PM,0
FYV,1/3/2016 2:53:00 PM,0
FYV,1/3/2016 3:53:00 PM,0
FYV,1/3/2016 4:53:00 PM,4.6
FYV,1/3/2016 5:53:00 PM,9.2
FYV,1/3/2016 6:53:00 PM,8.05
FYV,1/3/2016 7:53:00 PM,11.5
FYV,1/3/2016 8:53:00 PM,9.2
FYV,1/3/2016 9:53:00 PM,6.9
FYV,1/3/2016 10:53:00 PM,9.2
FYV,1/3/2016 11:53:00 PM,6.9
FYV,1/4/2016 12:53:00 AM,8.05
FYV,1/4/2016 1:53:00 AM,8.05
FYV,1/4/2016 2:53:00 AM,6.9
FYV,1/4/2016 3:53:00 AM,4.6
FYV,1/4/2016 4:53:00 AM,4.6
FYV,1/4/2016 5:53:00 AM,0
FYV,1/4/2016 6:53:00 AM,0
FYV,1/4/2016 7:53:00 AM,0
FYV,1/4/2016 8:53:00 AM,0
FYV,1/4/2016 9:53:00 AM,0
FYV,1/4/2016 10:53:00 AM,3.45
FYV,1/4/2016 11:53:00 AM,3.45
FYV,1/4/2016 12:53:00 PM,0
FYV,1/4/2016 1:53:00 PM,8.05
FYV,1/4/2016 2:53:00 PM,4.6
FYV,1/4/2016 3:53:00 PM,5.75
FYV,1/4/2016 4:53:00 PM,5.75
FYV,1/4/2016 5:53:00 PM,0
FYV,1/4/2016 6:53:00 PM,4.6
FYV,1/4/2016 7:53:00 PM,5.75
FYV,1/4/2016 8:53:00 PM,3.45
FYV,1/4/2016 9:53:00 PM,5.75
FYV,1/4/2016 10:53:00 PM,3.45
FYV,1/4/2016 11:53:00 PM,0
FYV,1/5/2016 12:53:00 AM,3.45
FYV,1/5/2016 1:53:00 AM,3.45
FYV,1/5/2016 2:53:00 AM,0
FYV,1/5/2016 3:53:00 AM,0
FYV,1/5/2016 4:53:00 AM,0
FYV,1/5/2016 5:53:00 AM,0
FYV,1/5/2016 6:53:00 AM,0
FYV,1/5/2016 7:53:00 AM,0
FYV,1/5/2016 8:53:00 AM,0
FYV,1/5/2016 9:53:00 AM,0
FYV,1/5/2016 10:53:00 AM,3.45
FYV,1/5/2016 11:53:00 AM,0
FYV,1/5/2016 12:53:00 PM,4.6
FYV,1/5/2016 1:53:00 PM,0
FYV,1/5/2016 2:53:00 PM,5.75
FYV,1/5/2016 3:53:00 PM,8.05
FYV,1/5/2016 4:53:00 PM,10.35
FYV,1/5/2016 5:53:00 PM,9.2
FYV,1/5/2016 6:53:00 PM,5.75
FYV,1/5/2016 7:53:00 PM,4.6
FYV,1/5/2016 8:53:00 PM,3.45
FYV,1/5/2016 9:53:00 PM,5.75
FYV,1/5/2016 10:53:00 PM,9.2
FYV,1/5/2016 11:53:00 PM,4.6
FYV,1/6/2016 12:53:00 AM,0
FYV,1/6/2016 1:53:00 AM,0
FYV,1/6/2016 2:53:00 AM,0
FYV,1/6/2016 3:53:00 AM,0
FYV,1/6/2016 4:53:00 AM,0
FYV,1/6/2016 5:53:00 AM,0
FYV,1/6/2016 6:53:00 AM,6.9
FYV,1/6/2016 7:53:00 AM,10.35
FYV,1/6/2016 8:53:00 AM,12.65
FYV,1/6/2016 9:53:00 AM,8.05
FYV,1/6/2016 10:53:00 AM,0
FYV,1/6/2016 11:53:00 AM,0
FYV,1/6/2016 12:53:00 PM,4.6
FYV,1/6/2016 1:53:00 PM,10.35
FYV,1/6/2016 2:53:00 PM,9.2
FYV,1/6/2016 3:53:00 PM,3.45
FYV,1/6/2016 4:53:00 PM,0
FYV,1/6/2016 5:53:00 PM,3.45
FYV,1/6/2016 6:53:00 PM,11.5
FYV,1/6/2016 7:53:00 PM,10.35
FYV,1/6/2016 8:53:00 PM,13.8
FYV,1/6/2016 9:53:00 PM,5.75
FYV,1/6/2016 10:53:00 PM,9.2
FYV,1/6/2016 11:53:00 PM,3.45
FYV,1/7/2016 12:53:00 AM,9.2
FYV,1/7/2016 1:53:00 AM,9.2
FYV,1/7/2016 2:53:00 AM,8.05
FYV,1/7/2016 3:53:00 AM,10.35
