station,valid,sped
SUX,1/1/2020 0:00,2.3
SUX,1/1/2020 0:05,0
SUX,1/1/2020 0:15,0
SUX,1/1/2020 0:20,0
SUX,1/1/2020 0:25,0
SUX,1/1/2020 0:30,2.3
SUX,1/1/2020 0:35,4.6
SUX,1/1/2020 0:40,2.3
SUX,1/1/2020 0:45,4.6
SUX,1/1/2020 0:50,4.6
SUX,1/1/2020 0:52,4.6
SUX,1/1/2020 1:00,4.6
SUX,1/1/2020 1:05,4.6
SUX,1/1/2020 1:10,2.3
SUX,1/1/2020 1:15,4.6
SUX,1/1/2020 1:20,4.6
SUX,1/1/2020 1:25,4.6
SUX,1/1/2020 1:30,4.6
SUX,1/1/2020 1:40,4.6
SUX,1/1/2020 1:45,4.6
SUX,1/1/2020 1:50,4.6
SUX,1/1/2020 1:52,4.6
SUX,1/1/2020 1:55,4.6
SUX,1/1/2020 2:00,5.75
SUX,1/1/2020 2:05,5.75
SUX,1/1/2020 2:10,5.75
SUX,1/1/2020 2:15,5.75
SUX,1/1/2020 2:20,4.6
SUX,1/1/2020 2:25,4.6
SUX,1/1/2020 2:30,5.75
SUX,1/1/2020 2:35,4.6
SUX,1/1/2020 2:40,4.6
SUX,1/1/2020 2:45,4.6
SUX,1/1/2020 2:50,2.3
SUX,1/1/2020 2:52,3.45
SUX,1/1/2020 2:55,2.3
SUX,1/1/2020 3:05,2.3
SUX,1/1/2020 3:10,2.3
SUX,1/1/2020 3:15,2.3
SUX,1/1/2020 3:20,2.3
SUX,1/1/2020 3:25,4.6
SUX,1/1/2020 3:35,5.75
SUX,1/1/2020 3:40,2.3
SUX,1/1/2020 3:50,2.3
SUX,1/1/2020 3:52,4.6
SUX,1/1/2020 3:55,4.6
SUX,1/1/2020 4:00,5.75
SUX,1/1/2020 4:15,5.75
SUX,1/1/2020 4:20,5.75
SUX,1/1/2020 4:25,5.75
SUX,1/1/2020 4:30,5.75
SUX,1/1/2020 4:40,5.75
SUX,1/1/2020 4:45,5.75
SUX,1/1/2020 4:50,4.6
SUX,1/1/2020 4:52,4.6
SUX,1/1/2020 5:00,2.3
SUX,1/1/2020 5:05,2.3
SUX,1/1/2020 5:15,2.3
SUX,1/1/2020 5:20,2.3
SUX,1/1/2020 5:25,4.6
SUX,1/1/2020 5:30,4.6
SUX,1/1/2020 5:35,8.05
SUX,1/1/2020 5:40,8.05
SUX,1/1/2020 5:50,5.75
SUX,1/1/2020 5:52,4.6
SUX,1/1/2020 5:55,5.75
SUX,1/1/2020 6:00,5.75
SUX,1/1/2020 6:05,5.75
SUX,1/1/2020 6:10,5.75
SUX,1/1/2020 6:15,5.75
SUX,1/1/2020 6:20,5.75
SUX,1/1/2020 6:30,5.75
SUX,1/1/2020 6:35,5.75
SUX,1/1/2020 6:40,5.75
SUX,1/1/2020 6:45,5.75
SUX,1/1/2020 6:50,4.6
SUX,1/1/2020 6:52,5.75
SUX,1/1/2020 6:55,5.75
SUX,1/1/2020 7:05,4.6
SUX,1/1/2020 7:10,4.6
SUX,1/1/2020 7:15,9.2
SUX,1/1/2020 7:20,11.5
SUX,1/1/2020 7:25,9.2
SUX,1/1/2020 7:30,10.35
SUX,1/1/2020 7:35,9.2
SUX,1/1/2020 7:40,9.2
SUX,1/1/2020 7:50,8.05
SUX,1/1/2020 7:52,8.05
SUX,1/1/2020 7:55,5.75
SUX,1/1/2020 8:00,5.75
SUX,1/1/2020 8:10,8.05
SUX,1/1/2020 8:15,9.2
SUX,1/1/2020 8:20,9.2
SUX,1/1/2020 8:30,5.75
SUX,1/1/2020 8:35,5.75
SUX,1/1/2020 8:40,4.6
